nohup: ignoring input
2025-03-13	03:10	0.84	16592	100.0%	1.44	28507	85.05%	0.96	19090	95.16%	21.6	49.7	64	0.006445410849164568
2025-03-13	03:40	0.84	16592	100.0%	1.42	28251	85.64%	0.96	19026	95.49%	21.7	49.4	0	0.003222705424582284
2025-03-13	04:10	0.84	16592	100.0%	1.43	28443	85.2%	0.96	19026	95.49%	21.7	48.9	0	0.0
2025-03-13	04:40	0.84	16592	100.0%	1.44	28571	84.9%	0.96	19026	95.49%	21.7	48.9	128	0.006445410849164568
2025-03-13	05:10	0.84	16592	100.0%	1.44	28635	84.76%	0.96	19026	95.49%	21.7	48.3	64	0.006445410849164568
2025-03-13	05:40	0.84	16592	100.0%	1.47	29212	83.43%	0.96	19090	95.16%	21.7	48.1	1345	0.06772716868848706
2025-03-13	06:10	0.84	16592	100.0%	1.48	29468	82.84%	0.96	19026	95.49%	21.6	47.6	22485	1.1387228198672465
2025-03-13	06:40	0.84	16592	100.0%	1.50	29789	82.1%	0.96	19154	94.84%	21.9	47.3	35426	1.7838681620508123
2025-03-13	07:10	0.84	16592	100.0%	1.50	29853	81.96%	0.96	19154	94.84%	21.8	47.1	42089	2.1258274204623486
2025-03-13	07:40	0.84	16656	100.0%	1.52	30109	81.37%	0.96	19090	95.16%	21.9	48.1	45484	2.296781872281987
2025-03-13	08:10	0.84	16656	100.0%	1.51	29917	81.81%	0.95	18962	95.81%	21.6	51.7	52787	2.6516319523918512
Błąd odczytu DHT22: Checksum did not validate. Try again.
2025-03-13	08:40	0.84	16656	100.0%	1.50	29789	82.1%	0.96	19154	94.84%	None	None	52595	2.6419638361181046
2025-03-13	09:10	0.84	16656	100.0%	1.32	26201	90.35%	0.96	18962	95.81%	22.1	51.5	57528	2.896809338521401
Błąd odczytu DHT22: DHT sensor not found, check wiring
2025-03-13	09:40	0.84	16656	100.0%	1.31	26073	90.64%	0.96	19154	94.84%	None	None	45932	2.309672693980316
2025-03-13	10:11	0.84	16720	100.0%	1.33	26329	90.05%	0.96	19026	95.49%	22.2	49.7	45292	2.2806683451590755
2025-03-13	10:41	0.97	19090	95.16%	1.36	27034	88.43%	1.16	23062	75.17%	22.6	54.3	45484	2.290336461432822
2025-03-13	11:11	0.45	10698	100.0%	1.40	27867	86.52%	1.16	23062	75.17%	22.2	49.4	54837	2.7613046463721673
